track_name,artist_names,peak_rank,weeks_on_chart,danceability,energy,loudness,speechiness,instrumentalness,tempo
Shape of You,Ed Sheeran,1,269,0.825,0.652,-3.183,0.0802,0,95.977
Believer,Imagine Dragons,16,268,0.776,0.78,-4.374,0.128,0,124.949
Say You Won't Let Go,James Arthur,7,268,0.358,0.557,-7.398,0.059,0,85.043
Perfect,Ed Sheeran,4,262,0.599,0.448,-6.312,0.0232,0,95.05
goosebumps,Travis Scott,13,226,0.841,0.728,-3.37,0.0484,0,130.049
Jocelyn Flores,XXXTENTACION,7,216,0.872,0.391,-9.144,0.242,4.13E-06,134.021
lovely (with Khalid),"Billie Eilish, Khalid",24,205,0.351,0.296,-10.109,0.0333,0,115.284
Lucid Dreams,Juice WRLD,3,194,0.511,0.566,-7.23,0.2,0,83.903
Bohemian Rhapsody - Remastered 2011,Queen,11,182,0.414,0.404,-9.928,0.0499,0,71.105
Closer,"The Chainsmokers, Halsey",2,179,0.748,0.524,-5.599,0.0338,0,95.01
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",1,179,0.755,0.522,-4.368,0.0575,0,89.96
Something Just Like This,"The Chainsmokers, Coldplay",2,172,0.617,0.635,-6.769,0.0317,1.44E-05,103.019
Shallow,"Lady Gaga, Bradley Cooper",3,171,0.572,0.385,-6.362,0.0308,0,95.799
Someone You Loved,Lewis Capaldi,4,168,0.501,0.405,-5.679,0.0319,0,109.891
Photograph,Ed Sheeran,41,154,0.614,0.379,-10.48,0.0476,0.000464,107.989
All of Me,John Legend,110,145,0.422,0.264,-7.064,0.0322,0,119.93
Dance Monkey,Tones And I,1,140,0.824,0.587,-6.401,0.0937,0.000105,98.029
Se??orita,"Shawn Mendes, Camila Cabello",1,138,0.759,0.548,-6.049,0.029,0,116.967
Circles,Post Malone,1,134,0.695,0.762,-3.497,0.0395,0.00244,120.042
Don't Start Now,Dua Lipa,2,125,0.793,0.793,-4.521,0.083,0,123.95
Watermelon Sugar,Harry Styles,4,123,0.548,0.816,-4.209,0.0465,0,95.39
Before You Go,Lewis Capaldi,19,122,0.459,0.575,-4.858,0.0573,0,111.881
Blinding Lights,The Weeknd,1,121,0.514,0.73,-5.934,0.0598,9.54E-05,171.005
One Dance,"Drake, WizKid, Kyla",12,120,0.792,0.625,-5.609,0.0536,0.0018,103.967
Memories,Maroon 5,2,116,0.775,0.327,-7.241,0.0557,0,91.05
Adore You,Harry Styles,6,104,0.676,0.771,-3.675,0.0483,7.00E-06,99.048
Starboy,"The Weeknd, Daft Punk",1,97,0.679,0.587,-7.015,0.276,6.35E-06,186.003
HUMBLE.,Kendrick Lamar,1,96,0.908,0.621,-6.638,0.102,5.39E-05,150.011
Mr. Brightside,The Killers,98,87,0.352,0.911,-5.23,0.0747,0,148.033
Heather,Conan Gray,12,87,0.357,0.425,-7.301,0.0333,0,102.078
Mood (feat. iann dior),"24kGoldn, iann dior",1,85,0.701,0.716,-3.671,0.0361,0,91.007
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,83,0.791,0.862,-3.24,0.11,2.19E-05,123.994
Dynamite,BTS,2,83,0.746,0.765,-4.41,0.0993,0,114.044
Sweater Weather,The Neighbourhood,29,82,0.612,0.807,-2.81,0.0336,0.0177,124.053
Falling,Harry Styles,29,81,0.567,0.267,-6.502,0.0299,1.46E-06,110.011
you broke me first,Tate McRae,13,78,0.667,0.373,-9.389,0.05,0,124.148
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",4,77,0.702,0.825,-3.787,0.0601,0,102.977
Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",4,76,0.808,0.745,-5.26,0.342,0,165.995
Daddy Issues,The Neighbourhood,99,76,0.588,0.521,-9.461,0.0329,0.149,85.012
Take Me To Church,Hozier,108,75,0.566,0.664,-5.303,0.0464,0,128.945
positions,Ariana Grande,1,74,0.737,0.802,-4.771,0.0878,0,144.015
D??KITI,"Bad Bunny, Jhay Cortez",1,73,0.731,0.573,-10.059,0.0544,5.22E-05,109.928
There's Nothing Holdin' Me Back,Shawn Mendes,5,72,0.866,0.813,-4.063,0.0554,0,121.998
Wake Me Up,Avicii,13,68,0.532,0.783,-5.697,0.0523,0.0012,124.08
Save Your Tears,The Weeknd,2,68,0.68,0.826,-5.487,0.0309,1.24E-05,118.051
Callaita,"Bad Bunny, Tainy",7,67,0.608,0.626,-4.773,0.301,2.16E-06,176.086
Yellow,Coldplay,101,66,0.429,0.661,-7.227,0.0281,0.000121,173.372
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,44,66,0.686,0.735,-4.616,0.264,0.00066,171.355
Heat Waves,Glass Animals,1,65,0.761,0.525,-6.9,0.0944,6.70E-06,80.87
LA CANCI??N,"J Balvin, Bad Bunny",17,64,0.754,0.646,-5.795,0.317,1.85E-05,176.089
The Business,Ti??sto,9,64,0.798,0.62,-7.079,0.232,0.0192,120.031
Riptide,Vance Joy,122,64,0.484,0.731,-6.694,0.0379,0,101.654
drivers license,Olivia Rodrigo,1,63,0.561,0.431,-8.81,0.0578,1.42E-05,143.875
Smells Like Teen Spirit,Nirvana,109,63,0.489,0.918,-4.502,0.0554,7.64E-05,116.731
Every Breath You Take,The Police,109,61,0.82,0.452,-9.796,0.0348,0.00294,117.401
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",5,55,0.586,0.616,-7.964,0.0324,0,148.088
The Nights,Avicii,44,54,0.527,0.835,-5.298,0.0433,0,125.983
Counting Stars,OneRepublic,117,54,0.664,0.705,-4.972,0.0382,0,122.016
Astronaut In The Ocean,Masked Wolf,3,53,0.778,0.695,-6.865,0.0913,0,149.996
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",1,53,0.677,0.696,-6.181,0.119,0,90.03
MONTERO (Call Me By Your Name),Lil Nas X,1,52,0.593,0.503,-6.725,0.22,0,178.781
Arcade,Duncan Laurence,23,52,0.453,0.35,-11.639,0.0425,0.00122,72.017
deja vu,Olivia Rodrigo,3,51,0.442,0.612,-7.222,0.112,5.70E-06,180.917
Talking to the Moon,Bruno Mars,45,50,0.498,0.59,-4.721,0.032,0,145.867
Another Love,Tom Odell,31,50,0.442,0.538,-8.55,0.0451,2.95E-05,122.758
The Hills,The Weeknd,52,50,0.585,0.564,-7.063,0.0515,0,113.003
Kiss Me More (feat. SZA),"Doja Cat, SZA",3,50,0.764,0.705,-3.463,0.0284,8.92E-05,110.97
Love Yourself,Justin Bieber,62,50,0.609,0.378,-9.828,0.438,0,100.418
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",15,48,0.824,0.862,-3.424,0.126,0.000132,122.98
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"The Weeknd, Ariana Grande",5,48,0.65,0.825,-4.645,0.0325,2.44E-05,118.091
Freaks,Surf Curse,55,47,0.345,0.941,-9.918,0.0466,0.633,179.626
Heartbreak Anniversary,Giveon,8,47,0.449,0.465,-8.964,0.0791,1.02E-06,89.087
Boy With Luv (feat. Halsey),"BTS, Halsey",3,46,0.645,0.862,-4.761,0.0845,0,119.947
good 4 u,Olivia Rodrigo,1,45,0.563,0.664,-5.044,0.154,0,166.928
Streets,Doja Cat,9,45,0.749,0.463,-8.433,0.0842,0.0382,90.035
happier,Olivia Rodrigo,12,44,0.395,0.443,-9.72,0.133,9.67E-06,168.924
Todo De Ti,Rauw Alejandro,2,44,0.78,0.719,-3.613,0.0506,0.000196,127.962
Butter,BTS,2,44,0.759,0.459,-5.187,0.0948,0,109.997
traitor,Olivia Rodrigo,7,44,0.38,0.339,-7.885,0.0338,0,100.607
Yonaguni,Bad Bunny,3,42,0.644,0.648,-4.601,0.118,0,179.951
Call Out My Name,The Weeknd,1,42,0.461,0.593,-4.954,0.0356,0,134.17
Beggin',M??neskin,1,42,0.714,0.8,-4.808,0.0504,0,134.002
The Real Slim Shady,Eminem,51,42,0.949,0.661,-4.244,0.0572,0,104.504
Need to Know,Doja Cat,6,41,0.664,0.609,-6.509,0.0707,0,130.041
RAPSTAR,Polo G,3,40,0.789,0.536,-6.862,0.242,0,81.039
'Till I Collapse,"Eminem, Nate Dogg",81,39,0.548,0.847,-3.237,0.186,0,171.447
You Right,"Doja Cat, The Weeknd",15,39,0.828,0.621,-6.414,0.0565,0.00233,128.986
Bad Habits,Ed Sheeran,3,39,0.807,0.893,-3.745,0.0347,2.79E-05,126.011
Sign of the Times,Harry Styles,14,39,0.516,0.595,-4.63,0.0313,0,119.972
Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",5,39,0.65,0.825,-4.645,0.0325,2.44E-05,118.091
Levitating,Dua Lipa,52,38,0.695,0.884,-2.278,0.0753,0,103.014
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",1,37,0.591,0.764,-5.484,0.0483,0,169.928
Volando - Remix,"Mora, Bad Bunny, Sech",19,37,0.659,0.688,-4.649,0.0673,0,153.979
Pepas,Farruko,4,37,0.762,0.766,-3.955,0.0343,6.98E-05,130.001
Woman,Doja Cat,6,37,0.824,0.764,-4.175,0.0854,0.00294,107.998
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sof??a Reyes, Jason Derulo, De La Ghetto",31,36,0.792,0.895,-3.112,0.0587,0,94.968
SLOW DANCING IN THE DARK,Joji,75,36,0.515,0.479,-7.458,0.0261,0.00598,88.964
INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",2,35,0.741,0.691,-7.395,0.0672,0,150.087
Hope,XXXTENTACION,42,35,0.592,0.457,-6.081,0.0603,0.000331,146.04
I WANNA BE YOUR SLAVE,M??neskin,8,35,0.75,0.608,-4.008,0.0387,0,132.507
No Role Modelz,J. Cole,113,35,0.69,0.521,-8.492,0.339,0,100.028
Mi??nteme,"TINI, Maria Becerra",41,35,0.85,0.541,-4.522,0.0674,5.01E-06,92.003
Volv??,"Aventura, Bad Bunny",10,34,0.725,0.86,-3.726,0.182,0.000284,175.896
Golden,Harry Styles,44,34,0.448,0.838,-5.257,0.0557,0.000131,139.863
No Lie,"Sean Paul, Dua Lipa",80,34,0.742,0.882,-2.862,0.117,0,102.04
Qu?? M??s Pues?,"J Balvin, Maria Becerra",9,34,0.903,0.817,-3.972,0.095,0.000311,102.014
Get Into It (Yuh),Doja Cat,36,34,0.912,0.655,-6.029,0.162,3.39E-05,91.942
Do I Wanna Know?,Arctic Monkeys,117,34,0.548,0.532,-7.596,0.0323,0.000263,85.03
Happier Than Ever,Billie Eilish,6,34,0.332,0.225,-8.697,0.0348,0.00349,81.055
Dark Red,Steve Lacy,66,33,0.603,0.783,-4.023,0.062,7.96E-06,172.041
Why'd You Only Call Me When You're High?,Arctic Monkeys,104,33,0.691,0.631,-6.478,0.0368,1.13E-05,92.004
Don't Be Shy,"Ti??sto, KAROL G",38,32,0.77,0.787,-3.748,0.0583,0,119.986
Dandelions,Ruth B.,35,32,0.609,0.692,-2.958,0.0259,0,116.959
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",4,32,0.795,0.8,-6.32,0.0309,7.25E-05,116.032
favorite crime,Olivia Rodrigo,11,31,0.369,0.272,-10.497,0.0364,0,172.929
AM Remix,"Nio Garcia, J Balvin, Bad Bunny",14,30,0.743,0.655,-5.015,0.159,0,172.031
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",52,30,0.721,0.738,-4.77,0.0403,4.41E-06,119.976
"jealousy, jealousy",Olivia Rodrigo,17,29,0.695,0.575,-6.334,0.116,0,163.929
Knife Talk (with 21 Savage ft. Project Pat),"Drake, 21 Savage, Project Pat",10,29,0.849,0.424,-9.579,0.324,0,145.887
Where Are You Now,"Lost Frequencies, Calum Scott",18,29,0.671,0.636,-8.117,0.103,0.000411,120.966
Mon Amour - Remix,"zzoilo, Aitana",34,29,0.748,0.761,-6.621,0.102,6.56E-06,116.041
Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",24,29,0.773,0.47,-7.93,0.0299,0.000193,94.995
The Night We Met,Lord Huron,55,29,0.544,0.369,-9.514,0.038,0.279,87.01
Sobrio,Maluma,41,28,0.762,0.77,-2.758,0.223,0,177.998
Shivers,Ed Sheeran,4,28,0.788,0.859,-2.724,0.0856,0,141.02
MONEY,LISA,5,28,0.831,0.554,-9.998,0.218,6.12E-05,140.026
Nost??lgico,"Rvssian, Rauw Alejandro, Chris Brown",40,28,0.734,0.846,-3.425,0.0489,1.74E-06,98.026
love nwantiti (ah ah ah),CKay,9,28,0.727,0.739,-3.805,0.0411,0.00137,93.005
Ghost,Justin Bieber,11,27,0.601,0.741,-5.569,0.0478,2.91E-05,153.96
love nwantiti (feat. Dj Yo! & AX'EL) - Remix,"CKay, Dj Yo!, AX'EL",14,27,0.579,0.596,-4.823,0.0561,0.0938,119.9
THATS WHAT I WANT,Lil Nas X,3,27,0.737,0.846,-4.51,0.22,0,87.981
2055,Sleepy Hallow,31,27,0.829,0.512,-5.865,0.187,0,80.511
Die For You,The Weeknd,41,26,0.586,0.525,-7.163,0.0615,0,133.629
Permission to Dance,BTS,5,26,0.702,0.741,-5.33,0.0427,0,124.925
Without Me,Eminem,31,26,0.908,0.669,-2.827,0.0738,0,112.238
My Universe,"Coldplay, BTS",3,26,0.573,0.711,-6.268,0.0406,0,105.006
C??rame,Rauw Alejandro,35,26,0.765,0.625,-3.599,0.0548,0.00111,102.101
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas",12,25,0.639,0.703,-6.33,0.0794,1.78E-06,169.888
I Love You So,The Walters,21,24,0.575,0.648,-4.891,0.0358,0,75.977
Toxic,BoyWithUke,23,23,0.594,0.612,-6.627,0.363,0,179.629
Easy On Me,Adele,1,23,0.604,0.366,-7.519,0.0282,0,141.981
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",32,23,0.717,0.671,-5.077,0.0337,2.54E-06,110.054
La Santa,"Bad Bunny, Daddy Yankee",14,23,0.744,0.868,-4.524,0.047,0,93.037
Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",149,22,0.633,0.927,-4.468,0.0839,0,146.097
Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",7,22,0.542,0.659,-7.289,0.0389,0,120.122
Just the Way You Are,Bruno Mars,133,22,0.635,0.841,-5.379,0.0422,0,109.021
Gangsta's Paradise,"Coolio, L.V.",116,22,0.647,0.514,-10.05,0.0593,0,79.975
Do It To It,"ACRAZE, Cherish",9,21,0.854,0.806,-8.262,0.0886,0.0542,124.927
Ain't Shit,Doja Cat,22,21,0.855,0.488,-4.601,0.208,0,124.097
OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry, Jax Jones, Charli XCX, Saweetie",42,21,0.787,0.833,-4.403,0.0478,0.00747,123.97
Infinity,Jaymes Young,11,21,0.671,0.673,-6.941,0.0444,5.29E-05,121.963
Take My Breath - Single Version,The Weeknd,7,21,0.747,0.739,-6.008,0.0487,2.22E-05,120.996
Lost in the Fire (feat. The Weeknd),"Gesaffelstein, The Weeknd",12,21,0.658,0.671,-12.21,0.0363,0.000927,100.966
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",3,21,0.728,0.783,-4.424,0.266,0,77.011
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",5,20,0.803,0.597,-6.035,0.141,4.50E-06,136.008
family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",30,20,0.711,0.611,-5.453,0.33,0,134.093
The Motto,"Ti??sto, Ava Max",23,20,0.754,0.763,-4.627,0.0435,2.23E-05,117.953
Ley Seca,"Jhay Cortez, Anuel AA",44,20,0.759,0.842,-3.758,0.096,0,105.059
One Right Now (with The Weeknd),"Post Malone, The Weeknd",9,20,0.687,0.781,-4.806,0.053,0,97.014
Blank Space,Taylor Swift,130,20,0.76,0.703,-5.412,0.054,0,95.997
X ??LTIMA VEZ,"Daddy Yankee, Bad Bunny",18,20,0.812,0.855,-3.725,0.0554,0.000167,90.04
Life Goes On,Oliver Tree,15,20,0.7,0.49,-5.187,0.076,0,79.982
As It Was,Harry Styles,1,19,0.52,0.731,-5.338,0.0557,0.00101,173.93
Fair Trade (with Travis Scott),"Drake, Travis Scott",3,19,0.666,0.465,-8.545,0.26,0,167.937
abcdefu,GAYLE,1,19,0.695,0.54,-5.692,0.0493,0,121.932
Praise God,Kanye West,16,19,0.798,0.545,-6.466,0.168,9.48E-05,118.029
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,19,0.631,0.518,-8.771,0.0303,0,93.023
A Tu Merced,Bad Bunny,52,19,0.86,0.791,-4.784,0.0568,0.000106,92.023
Angel Baby,Troye Sivan,59,19,0.559,0.559,-6.425,0.0358,0,72.498
Tacones Rojos,Sebastian Yatra,45,18,0.746,0.844,-3.499,0.0359,0,123.014
First Class,Jack Harlow,2,18,0.902,0.582,-5.902,0.109,3.18E-06,107.005
Medallo,"Blessd, Justin Quiles, Lenny Tav??rez",48,18,0.787,0.7,-4.598,0.0768,0.00051,90.02
Oh My God,Adele,3,18,0.534,0.725,-3.906,0.046,0,88.098
Happier Than Ever - Edit,Billie Eilish,70,17,0.334,0.599,-5.742,0.0365,0.000392,161.74
After Dark,Mr.Kitty,112,17,0.579,0.601,-10.492,0.0322,0.414,140.019
Te Felicito,"Shakira, Rauw Alejandro",13,16,0.695,0.636,-4.654,0.317,0,174.14
The Feels,TWICE,57,16,0.808,0.903,-2.179,0.0729,0,120.044
Bored,Billie Eilish,51,16,0.614,0.318,-12.695,0.0478,0.00239,119.959
PROVENZA,KAROL G,6,16,0.87,0.516,-8.006,0.0541,0.00823,111.005
ULTRA SOLO,"Polim?? Westcoast, Pailita",42,16,0.802,0.846,-4.495,0.207,1.92E-05,109.982
House of Memories,Panic! At The Disco,64,16,0.506,0.817,-5.051,0.0335,0,109.952
Rolling in the Deep,Adele,36,16,0.73,0.769,-5.114,0.0298,0,104.948
Thunder,"Gabry Ponte, LUM!X, Prezioso",110,16,0.67,0.896,-4.673,0.058,3.21E-05,101.216
Pasoori,"Shae Gill, Ali Sethi",109,16,0.714,0.596,-6.206,0.043,0,91.991
Still Don't Know My Name,Labrinth,53,16,0.316,0.63,-5.963,0.117,0.262,89.643
LA FAMA (with The Weeknd),"ROSAL??A, The Weeknd",32,15,0.766,0.295,-7.893,0.0464,4.44E-05,136.016
Acapulco,Jason Derulo,90,15,0.774,0.792,-4.021,0.0523,0,122.062
About Damn Time,Lizzo,9,15,0.836,0.743,-6.305,0.0653,0,108.965
Desesperados,"Rauw Alejandro, Chencho Corleone",8,15,0.869,0.694,-3.35,0.0783,0.00125,90.02
WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",10,15,0.463,0.642,-4.474,0.34,0,83.389
In The Stars,Benson Boone,54,15,0.362,0.54,-6.031,0.0528,0,78.007
Super Gremlin,Kodak Black,45,15,0.825,0.414,-6.634,0.144,0,72.993
La Corriente,"Bad Bunny, Tony Dize",17,14,0.663,0.786,-3.51,0.195,0,196.12
Un Coco,Bad Bunny,25,14,0.839,0.69,-4.464,0.0615,8.33E-06,151.991
Yo No Soy Celoso,Bad Bunny,11,14,0.872,0.588,-6.276,0.0492,0,142.004
Sky,Playboi Carti,113,14,0.785,0.903,-4.184,0.21,0,139.98
Sunroof,"Nicky Youre, dazy",28,14,0.768,0.714,-5.11,0.0401,0,131.443
Dos Mil 16,Bad Bunny,19,14,0.817,0.67,-6.534,0.0506,1.92E-06,130.058
Crazy What Love Can Do,"David Guetta, Becky Hill, Ella Henderson",127,14,0.601,0.713,-3.758,0.0449,0,122.872
Neverita,Bad Bunny,15,14,0.876,0.498,-7.511,0.0478,0,122.016
Aguacero,Bad Bunny,22,14,0.861,0.645,-6.96,0.0743,0.000592,121.391
Tarot,"Bad Bunny, Jhay Cortez",9,14,0.795,0.684,-3.971,0.0419,0,114.011
Payphone,"Maroon 5, Wiz Khalifa",136,14,0.743,0.752,-4.813,0.0414,0,110.015
Otro Atardecer,"Bad Bunny, The Mar??as",24,14,0.777,0.595,-6.79,0.0375,0.00139,108.02
Tit?? Me Pregunt??,Bad Bunny,4,14,0.65,0.715,-5.198,0.253,0.000291,106.672
Andrea,"Bad Bunny, Buscabulla",21,14,0.797,0.616,-10.229,0.375,0.000293,103.071
Until I Found You,Stephen Sanchez,30,14,0.539,0.508,-6.05,0.0288,0,101.358
Moscow Mule,Bad Bunny,2,14,0.804,0.674,-5.453,0.0333,1.18E-06,99.968
Efecto,Bad Bunny,7,14,0.801,0.475,-8.797,0.0516,1.73E-05,98.047
Party,"Bad Bunny, Rauw Alejandro",6,14,0.829,0.799,-5.389,0.0897,0.000543,97.013
Un Ratito,Bad Bunny,10,14,0.787,0.546,-7.094,0.0532,4.55E-05,93.05
Me Porto Bonito,"Bad Bunny, Chencho Corleone",2,14,0.911,0.712,-5.105,0.0817,2.68E-05,92.005
Me Fui de Vacaciones,Bad Bunny,14,14,0.714,0.645,-5.493,0.0514,0.00083,85.046
Ojitos Lindos,"Bad Bunny, Bomba Est??reo",3,14,0.647,0.686,-5.745,0.0413,1.34E-06,79.928
Despu??s de la Playa,Bad Bunny,7,14,0.564,0.903,-3.221,0.307,0,78.293
We Don't Talk About Bruno,"Carolina Gait??n - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",8,13,0.577,0.45,-8.516,0.0834,0,205.863
MIDDLE OF THE NIGHT,Elley Duh??,14,13,0.41,0.611,-8.271,0.0467,0,185.727
Don? t Blame Me,Taylor Swift,72,13,0.615,0.534,-6.719,0.0386,1.76E-05,135.917
Malvad??o 3,"Xam??, Gustah, Neo Beats",33,13,0.821,0.609,-6.541,0.268,0,133.133
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",18,13,0.669,0.773,-5.619,0.153,0,93.923
"Surface Pressure - From ""Encanto""/Soundtrack Version",Jessica Darrow,23,12,0.652,0.583,-8.302,0.322,1.65E-06,180.042
La Llevo Al Cielo (Ft. ??engo Flow),"Chris Jedi, Anuel AA, Chencho Corleone, ??engo Flow",53,12,0.795,0.845,-3.809,0.135,1.14E-05,170.023
Locked out of Heaven,Bruno Mars,111,12,0.728,0.697,-4.125,0.0456,0,143.986
505,Arctic Monkeys,57,12,0.52,0.852,-5.866,0.0543,5.79E-05,140.267
Revenge,XXXTENTACION,63,12,0.746,0.251,-16.169,0.259,0.00203,139.999
Late Night Talking,Harry Styles,2,12,0.714,0.728,-4.595,0.0468,0,114.996
Matilda,Harry Styles,5,12,0.507,0.294,-10,0.04,1.97E-05,114.199
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),"Amaarae, Kali Uchis, Moliy",23,12,0.87,0.523,-8.052,0.0602,2.07E-05,110.02
Music For a Sushi Restaurant,Harry Styles,6,12,0.72,0.715,-4.652,0.04,0.0568,107.041
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago PZK",37,12,0.656,0.823,-3.059,0.315,0,96.474
Only Love Can Hurt Like This,Paloma Faith,93,12,0.566,0.885,-4.528,0.0818,9.97E-05,90.99
Se Le Ve,"D??melo Flow, Dalex, Sech, Justin Quiles, Arcangel, De La Ghetto, Lenny Tav??rez",110,12,0.562,0.755,-4.367,0.112,2.25E-05,83.997
Salimo de Noche,"Tiago PZK, Trueno",72,12,0.669,0.628,-4.177,0.0526,1.83E-05,83.803
Notion,The Rare Occasions,67,11,0.309,0.883,-3.825,0.0808,0.00111,159.488
TO THE MOON,"Jnr Choi, Sam Tompkins",55,11,0.745,0.65,-11.814,0.346,0.00758,144.047
All For Us,"Labrinth, Zendaya",43,11,0.46,0.66,-6.642,0.0652,0.000139,141.722
Wildest Dreams (Taylor's Version),Taylor Swift,29,11,0.583,0.67,-7.289,0.0646,0.0001,140.061
Esque??a-Me Se For Capaz,"Mar??lia Mendon??a, Maiara & Maraisa",67,11,0.799,0.685,-5.366,0.0725,0,122.013
Sacrifice,The Weeknd,3,11,0.735,0.795,-6.523,0.113,3.18E-05,122
Belly Dancer,"Imanbek, BYOR",77,11,0.845,0.797,-4.984,0.139,5.57E-06,121.985
Night Changes,One Direction,111,11,0.672,0.52,-7.747,0.0353,0,120.001
Fingers Crossed,Lauren Spencer Smith,17,11,0.56,0.473,-7.23,0.0533,0,109.414
Running Up That Hill (A Deal With God),Kate Bush,1,11,0.629,0.547,-13.123,0.055,0.00314,108.375
Softcore,The Neighbourhood,35,11,0.575,0.568,-5.509,0.03,0.000417,93.986
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",8,11,0.627,0.618,-8.529,0.0437,0,82.03
pushin P (feat. Young Thug),"Gunna, Future, Young Thug",14,11,0.773,0.422,-4.572,0.187,0.00693,77.502
